vehicle_id,driver_id,driver_name,vehicle_type,timestamp,gps_latitude,gps_longitude,speed_kmh,fuel_consumption_rate,fuel_level_pct,distance_remaining_km,traffic_congestion,weather_condition,trip_progress_pct,delivery_status,delay_risk,estimated_arrival_time_min
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:11:54.206321,28.6139,77.209,62.6,39.98,101.1,1242.38,High,Clear,0.0,High Risk,High,1785.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:15:54.206321,28.13585,76.8315,83.4,34.02,98.3,1176.99,Low,Clear,5.3,In Transit,Low,840.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:19:54.206321,27.65693,76.44816,82.0,32.57,90.7,1111.6,Low,Clear,10.5,In Transit,Low,815.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:23:54.206321,27.19431,76.03753,69.7,37.59,85.8,1046.22,Moderate,Clear,15.8,High Risk,High,1082.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:27:54.206321,26.72033,75.64603,72.9,35.17,86.6,980.83,Moderate,Clear,21.1,High Risk,High,967.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:31:54.206321,26.22862,75.28438,87.4,32.81,82.0,915.44,Low,Clear,26.3,In Transit,Low,622.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:35:54.206321,25.73692,74.92272,77.8,31.85,76.7,850.05,Low,Clear,31.6,In Transit,Low,653.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:39:54.206321,25.26393,74.53792,56.5,40.69,70.4,784.66,High,Clear,36.8,High Risk,High,1250.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:43:54.206321,24.86862,74.05702,37.4,45.37,68.4,719.27,Severe,Clear,42.1,Delayed,High,2306.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:47:54.206321,24.44642,73.61103,62.4,36.66,63.1,653.89,Moderate,Clear,47.4,High Risk,High,754.5
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:51:54.206321,23.95634,73.25322,86.3,34.24,55.6,588.5,Low,Clear,52.6,In Transit,Low,413.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:55:54.206321,23.46626,72.8954,95.1,33.24,55.2,523.11,Low,Clear,57.9,In Transit,Low,330.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T10:59:54.206321,22.97874,72.60871,60.3,38.78,52.8,457.72,Moderate,Clear,63.2,High Risk,High,545.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T11:03:54.206321,22.51567,73.00348,55.1,39.73,48.7,392.33,High,Clear,68.4,High Risk,High,638.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T11:07:54.206321,21.99517,73.08512,79.0,32.75,45.6,326.94,Low,Clear,73.7,In Transit,Low,250.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T11:11:54.206321,21.42765,72.91037,65.8,35.0,39.4,261.55,Moderate,Clear,78.9,High Risk,High,286.1
